"Coca-Cola hosts free screening of "MANDELA: Long Walk to Freedom" For College Students on December 5 at Regal Edwards Houston Marq*E Stadium","KO-US","PRN","12:53pm","4-Dec-13"
"Critical Alerts For Coca Cola, Maxim Integrated Products, Western Digital, Cognizant Technology, and Expedia Released By InvestorsObserver","CTSH-US,EXPE-US,K...","PRN"," 6:31am","4-Dec-13"
"The Coca-Cola Co agreed to acquire ZICO Beverages LLC","KO-US,006Z6N-E","FFW"," 6:15am","26-Nov-13"
"MRM Acquires Top Brazilian Agency E/OU","KO-US,IPG-US","CNW","12:27pm","19-Nov-13"
"Nestlé joins alliance for responsible plant-based plastics","KO-US,NESN-CH,064...","HUG"," 2:00am","19-Nov-13"
"Coca-Cola has King's ear in Swaziland - WSJ","KO-US,MRO-US,NESN...","SA"," 8:15pm","18-Nov-13"
"Ownership Updates: COCA COLA CO  COM (KO) for 15-Nov-2013","KO-US,19121610","FIO"," 1:30am","15-Nov-13"
"Driving Innovation: The Coca-Cola Company and Ford Unveil Ford Fusion Energi with PlantBottle Technology Interior","F-US,KO-US","PRN"," 9:01pm","14-Nov-13"
"SVP DOUGLAS JR Gifts 1,221 of COCA COLA CO (KO)","KO-US,KO","EDG","11:53am","13-Nov-13"
"Holder SMITH BRIAN JOHN Sells 50,000 of COCA COLA CO (KO)","KO-US,KO","EDG","11:49am","13-Nov-13"
"Coca-Cola, the USO and the 82nd Airborne Division "All-American" Chorus Salute Veterans Day","KO-US,KO","BW"," 7:04am","13-Nov-13"
"SVP TUGGLE Sells 92,000 of COCA COLA CO (KO)","KO-US,KO","EDG"," 9:08am","8-Nov-13"
"DanceOn Partners With Coca-Cola And (RED) Campaign For Special Episode Of "D-trix Presents Dance Showdown"","0DD0Q2-E,KO-US","PRN","11:05am","7-Nov-13"
"Coca-Cola Releases 2012-2013 Global Sustainability Report","KO-US,KO","BW"," 6:04am","7-Nov-13"
"Analyst's Notes >> COCA-COLA ENTERPRISES INC (Argus Research) 4 pages","KO-US,160512-CN,M...","FRC"," 6:57am","5-Nov-13"
"COCA COLA CO files (8-K) Current report: Items 8.01 - Other Events, 9.01 - Financial Statements and Exhibits, for period end 29-Oct-13 (KO-US)","KO-US,KO","EDG"," 1:14pm","1-Nov-13"
"COCA COLA CO files (424B2) Prospectus for a primary offering on a delayed basis (KO-US)","KO-US,KO","EDG"," 3:01am","31-Oct-13"
"Coca-Cola's Double Major This Semester? Education and Recreation","KO-US,KO","BW","11:02am","30-Oct-13"
"COCA COLA CO files (FWP) Free writing prospectus after a registration statement has been filed (KO-US)","KO-US,KO","EDG"," 3:01am","30-Oct-13"
"COCA COLA CO files (FWP) Free writing prospectus after a registration statement has been filed (KO-US)","KO-US,KO","EDG"," 3:01am","30-Oct-13"
"The Coca-Cola Company Prices $5.0 Billion of Senior Notes","KO-US,KO","BW"," 4:03pm","29-Oct-13"
"Fitch Rates Coca-Cola's Proposed $5B Issuance 'A+'; Outlook Stable","KO-US","BW"," 1:39pm","29-Oct-13"
"COCA COLA CO files (424B5) Prospectus used for both 424B2 and 424B3 information (KO-US)","KO-US,KO","EDG"," 6:00am","29-Oct-13"
"Coca-Cola files mixed securities shelf of indeterminate size","KO-US","SA"," 1:55pm","28-Oct-13"
"COCA COLA CO files (S-3ASR) Automatic shelf registration of seasoned issuers (KO-US)","KO-US,KO","EDG"," 1:54pm","28-Oct-13"
"COCA COLA CO files (8-K) Current report: Items 8.01 - Other Events, 9.01 - Financial Statements and Exhibits, for period end 24-Oct-13 (KO-US)","KO-US,KO","EDG"," 9:23am","24-Oct-13"
"COCA COLA CO files (10-Q) Basic quarterly filing, for period end 27-Sep-13 (KO-US)","KO-US,KO","EDG"," 9:11am","24-Oct-13"
"Coca Cola Co: 10-Q FactSet Blackline Report for period ending 09/27/2013","KO-US","FBLK"," 9:11am","24-Oct-13"
"Make Your Day Sparkle with New DASANI Sparkling","KO-US,KO","BW"," 7:50am","24-Oct-13"
"Coca-Cola Continues Strong Investment in China with Opening of 43rd Production Facility","KO-US,KO","BW"," 6:03am","24-Oct-13"
"Analyst's Notes >> THE COCA-COLA CO (Argus Research) 4 pages","KO-US,CCE-US,MORN...","FRC","11:53am","23-Oct-13"
"The Board of Directors of the Coca-Cola Company Declares Regular Quarterly Dividend","KO-US,KO","BW"," 8:00am","17-Oct-13"
"Oxfam Targets Coca-Cola, PepsiCo on World Food Day","06R2T8-E,PEP-US,K...","PRN"," 7:32am","16-Oct-13"
