"The Walt Disney Co.(DIS-US) Schedules Annual General Meeting for 18-March-2014","DIS-US","FCST"," 1:22pm","4-Dec-13"
"Walt Disney increases annual dividend by 14.7% to $0.86 from $0.75","DIS-US","SA"," 1:17pm","4-Dec-13"
"The Walt Disney Company Increases Annual Cash Dividend by 15 Percent to $0.86 Per Share","DIS-US,DIS","BW"," 1:17pm","4-Dec-13"
"The Walt Disney Co.(DIS-US) Schedules UBS Global Media and Communications Conference for 10-December-2013 9:00 AM ET","DIS-US","FCST","11:10am","4-Dec-13"
"Jay Rasulo, Senior Executive Vice President and Chief Financial Officer, The Walt Disney Company, to Speak at the UBS 41st Annual Global Media and Communications Conference","DIS-US,DIS","BW","11:00am","4-Dec-13"
"BesTV, Walt Disney to form 51-49 digital JV in China","DIS-US","SA"," 2:08am","4-Dec-13"
"Disney & BesTV Agree to Form Digital Joint Venture in China","DIS-US,600637-CN","PRN"," 2:03am","4-Dec-13"
"Walt Disney downgraded to neutral from buy at B. Riley","DIS-US","SA"," 4:34am","3-Dec-13"
"WestJet soars to new heights with Magic Plane","DIS-US,WJA-CA","CNW"," 9:30am","2-Dec-13"
"Walt Disney Records Presents Saving Mr. Banks Original Motion Picture Score Soundtrack And Saving Mr. Banks 2-Disc Deluxe Edition Soundtrack Features Previously Unreleased Song Demos By The Sherman Brothers Both Available On December 10","DIS-US","PRN"," 6:00am","26-Nov-13"
"(RNS)  Avesco Group PLC  Update on return of cash proceeds from settlement","DIS-US,AVS-GB,06M...","FECA","11:00pm","25-Nov-13"
"Walt Disney Records' Austin & Ally: Turn It Up Features New Songs From The Hit Disney Channel Series, With Tracks Performed By Stars Ross Lynch And Laura Marano","DIS-US","PRN"," 6:29pm","25-Nov-13"
"EVP MAYER Sells 10,000 of WALT DISNEY CO/ (DIS)","DIS-US,DIS","EDG"," 5:01pm","22-Nov-13"
"Dir CHEN Sells 6,000 of WALT DISNEY CO/ (DIS)","DIS-US,DIS","EDG"," 5:00pm","20-Nov-13"
"WALT DISNEY CO/ files (10-K) Basic annual filing, for period end 28-Sep-13 (DIS-US)","DIS-US,DIS","EDG"," 2:14pm","20-Nov-13"
"Walt Disney Co/: 10-K FactSet Blackline Report for period ending 09/28/2013","DIS-US","FBLK"," 2:14pm","20-Nov-13"
"Robert A. Iger, President And CEO, The Walt Disney Company On Diane Disney Miller's Passing","DIS-US","PRN"," 4:39pm","19-Nov-13"
"First Lady Michelle Obama and Disney Chairman and CEO Robert A. Iger Give Keynote Remarks at Disney 'Veterans Institute'","DIS-US","MW"," 4:26pm","14-Nov-13"
"Agent P: DoofenDASH Now Available for iOS and Android Devices","COOL-US,DIS-US","MW"," 6:00am","14-Nov-13"
"The Walt Disney Company Commits Half-A-Million Dollars In Humanitarian Aid To The Victims Of The Typhoon In The Philippines","DIS-US","PRN","10:25am","12-Nov-13"
"Analyst's Notes >> WALT DISNEY CO (Argus Research) 5 pages","DIS-US,160512-CN,...","FRC"," 6:38am","11-Nov-13"
"Street Takeaways - DIS Q4 Earnings","DIS-US","SA"," 5:54am","8-Nov-13"
"CALLSTREET REPORT: The Walt Disney Co.(DIS-US), Q4 2013 Earnings Call, 7-November-2013 5:00 PM ET","DIS-US","FCST","10:04pm","7-Nov-13"
"The Walt Disney Co. (DIS-US) - Preliminary Annual Report for the Period Ending 28-Sep-2013 (English)","DIS-US","FFR"," 4:12pm","7-Nov-13"
"StreetAccount Metrics Recap - DIS Q4 Earnings","DIS-US","SA"," 1:22pm","7-Nov-13"
"WALT DISNEY CO/ files (8-K) Current report: Items 2.02 - Results of Operations, 9.01 - Financial Statements and Exhibits, for period end 7-Nov-13 (DIS-US)","DIS-US,DIS","EDG"," 1:18pm","7-Nov-13"
"Walt Disney reports Q4 EPS $0.77 ex-items vs FactSet $0.76","DIS-US","SA"," 1:15pm","7-Nov-13"
"The Walt Disney Company Reports Fourth Quarter and Full Year Earnings for Fiscal 2013","DIS-US,DIS","BW"," 1:15pm","7-Nov-13"
