"Crackle Launches Original Concert Series "Playing It Forward" with Surprise Street Performance by Grammy® Award Winning Artist John Legend in Los Angeles","FDX-US","PRN"," 5:00am","27-Nov-13"
"FedEx Express Canada Supports Free Trade Deal with EU","FDX-US","MW"," 5:45am","21-Nov-13"
"FedEx, Direct Relief, and Heart to Heart International Team up to Deliver Supplies and Aid to Philippines","FDX-US,FDX","BW"," 5:00am","20-Nov-13"
"FedEx Delivers Early Christmas Present for Troops","FDX-US,FDX","BW"," 6:00am","19-Nov-13"
"FedEx Express showcases its Aerospace Solutions at Dubai Airshow [Emirates News Agency (WAM) (United Arab Emirates)] (Middle East & North African Newspapers)","FDX-US","IA"," 9:01pm","16-Nov-13"
"FedEx Corp. Board Declares Quarterly Dividend","FDX-US,FDX","BW"," 6:00am","15-Nov-13"
"FedEx CEO Fred Smith says they would be willing to deliver on Sunday if demand is sufficient -- CNBC","FDX-US,AMZN-US,UP...","SA"," 5:51am","15-Nov-13"
"Ownership Updates: FEDEX CORP  COM (FDX) for 15-Nov-2013","FDX-US,31428X10","FIO"," 1:30am","15-Nov-13"
"Critical Alerts For SPDR Gold, Qualcomm, Ford, US Bancorp, and FedEx Released By InvestorsObserver","F-US,FDX-US,GLD-U...","PRN"," 6:31am","14-Nov-13"
"2013 Holiday Season: 60 Percent of Canadians Will Shop Online","FDX-US,0037P3-E","MW"," 1:00am","14-Nov-13"
"Third Point LLC agreed to acquire a minority stake in FedEx Corp","FDX-US,071VYD-E","FFW"," 7:35am","13-Nov-13"
"Follow-up: FedEx moves higher after Third Point's Dan Loeb discloses ownership of shares -- CNBC","FDX-US","SA"," 7:54am","12-Nov-13"
"FedEx moves higher after Third Point's Dan Loeb discloses ownership of shares -- CNBC","FDX-US","SA"," 7:48am","12-Nov-13"
"FedEx downgraded to market perform from outperform at Cowen","FDX-US","SA"," 3:37am","12-Nov-13"
"FEDEX CORP files (CT ORDER) Confidential treatment order by SEC (FDX-US)","FDX-US,FDX","EDG"," 8:28am","8-Nov-13"
"Ex-Im Bank and FedEx Join Forces to Empower U.S. Businesses to Export","FDX-US","PRN"," 4:05am","7-Nov-13"
"FedEx Announces Leadership Appointments In Europe, Middle East, Indian Subcontinent and Africa","063JW6-E,FDX-US","BW","10:00pm","3-Nov-13"
"Time Change Survey: Half of Canadians Will Catch Up on Sleep","FDX-US","CCN"," 9:34am","31-Oct-13"
"FedEx and Cardinal Health Form Strategic Alliance to Offer Premier Healthcare 3PL Solutions","CAH-US,FDX-US,CAH...","BW"," 6:00am","29-Oct-13"
"FedEx Express opens new facility in Abu Dhabi [Emirates News Agency (WAM) (United Arab Emirates)] (Middle East & North African Newspapers)","FDX-US","IA"," 9:01pm","28-Oct-13"
"Online Shopping Boosts FedEx Holiday Volume","FDX-US,FDX","BW"," 6:00am","23-Oct-13"
"FedEx upgraded to overweight from neutral at JPMorgan","FDX-US","SA"," 5:47am","22-Oct-13"
"FedEx Forum Spotlights "Delivering Healthcare Solutions Around the Globe"","FDX-US,FDX","BW"," 5:00am","22-Oct-13"
"Dir JACKSON Sells 12,920 of FEDEX CORP (FDX)","FDX-US,FDX","EDG"," 1:53pm","21-Oct-13"
"FedEx Introduces FedEx One Rate         ","063JW6-E,FDX-US","BW"," 6:00am","21-Oct-13"
"FedEx Displays First 767-300 Freighter Scheduled for Service","063JW6-E,FDX-US","BW","11:00am","18-Oct-13"
"FedEx Express Recognizes "Employee Heroes" for Exceptional Customer and Community Service","063JW6-E,FDX-US","BW"," 7:00am","17-Oct-13"
"FedEx Custom Critical Launches Temp-Assure® Shipping Studies","FDX-US,FDX","BW"," 7:39am","16-Oct-13"
"FedEx downgraded to neutral from buy at Buckingham","FDX-US","SA"," 5:26am","16-Oct-13"
"FedEx announces 32M share repurchase program","FDX-US","SA"," 5:32am","15-Oct-13"
"FedEx Announces 32 Million Share Repurchase Program","FDX-US,FDX","BW"," 5:30am","15-Oct-13"
"No More New Apple Computer or Federal Express if Obama Closes the SBA, According to the American Small Business League","FDX-US,AAPL-US","BW"," 8:37am","8-Oct-13"
"Global IR Forum announces Speakers and Agenda","1224-HK,C31-SG,FD...","PRNA"," 8:26am","7-Oct-13"
"FedEx Freight Continues Accelerating LTL Shipping To and From Canada","FDX-US,081CD3-E,FDX","BW"," 6:00am","30-Sep-13"
"Dir WALSH Updates Ownership of FEDEX CORP (FDX)","FDX-US,FDX","EDG","12:54pm","24-Sep-13"
"Dir STEINER Updates Ownership of FEDEX CORP (FDX)","FDX-US,FDX","EDG","12:50pm","24-Sep-13"
"Dir SCHWAB Updates Ownership of FEDEX CORP (FDX)","FDX-US,FDX","EDG","12:47pm","24-Sep-13"
"Dir RAMO Updates Ownership of FEDEX CORP (FDX)","FDX-US,FDX","EDG","12:44pm","24-Sep-13"
"Dir MARTIN Updates Ownership of FEDEX CORP (FDX)","FDX-US,FDX","EDG","12:40pm","24-Sep-13"
"Dir LOVEMAN Updates Ownership of FEDEX CORP (FDX)","FDX-US,FDX","EDG","12:36pm","24-Sep-13"
"Dir LORANGER Updates Ownership of FEDEX CORP (FDX)","FDX-US,FDX","EDG","12:36pm","24-Sep-13"
"Dir JACKSON Updates Ownership of FEDEX CORP (FDX)","FDX-US,FDX","EDG","12:35pm","24-Sep-13"
"Dir EDWARDSON Updates Ownership of FEDEX CORP (FDX)","FDX-US,FDX","EDG","12:19pm","24-Sep-13"
"Dir BARKSDALE Updates Ownership of FEDEX CORP (FDX)","FDX-US,FDX","EDG","12:14pm","24-Sep-13"
"FEDEX CORP files (8-K) Current report: Items 5.02 - Changes in Exec Management, 5.07 - Submission of Matters to a Vote, 9.01 - Financial Statements and Exhibits, for period end 23-Sep-13 (FDX-US)","FDX-US,FDX","EDG","10:38am","24-Sep-13"
"Dir BARKSDALE Acquires 7,000 of FEDEX CORP (FDX)","FDX-US,FDX","EDG"," 1:55pm","23-Sep-13"
"FedEx Corp. Reports Annual Shareowner Meeting Results","FDX-US,FDX","BW","11:00am","23-Sep-13"
"FedEx downgraded to hold from buy at Stifel Nicolaus","FDX-US","SA"," 5:39am","23-Sep-13"
"CIO CARTER Sells 8,842 of FEDEX CORP (FDX)","FDX-US,FDX","EDG"," 3:43pm","20-Sep-13"
"FEDEX CORP files (10-Q) Basic quarterly filing, for period end 31-Aug-13 (FDX-US)","FDX-US,FDX","EDG"," 2:26pm","19-Sep-13"
"Fedex Corp: 10-Q FactSet Blackline Report for period ending 08/31/2013","FDX-US","FBLK"," 2:26pm","19-Sep-13"
"Analyst's Notes >> FEDEX CORP (Argus Research) 5 pages","FDX-US,MORN-US,DP...","FRC","11:32am","19-Sep-13"
"FedEx downgraded to neutral from buy at Goldman Sachs","FDX-US","SA"," 3:15am","19-Sep-13"
"Street Takeaways - FDX Q1 Earnings","FDX-US","SA"," 1:46pm","18-Sep-13"
"CALLSTREET REPORT: FedEx Corp.(FDX-US), Q1 2014 Earnings Call, 18-September-2013 8:30 AM ET","FDX-US","FCST","12:12pm","18-Sep-13"
"StreetAccount Conference Call Highlights - FDX Q1 Earnings","FDX-US","SA"," 6:49am","18-Sep-13"
"FEDEX CORP files (8-K) Current report: Items 2.02 - Results of Operations, 9.01 - Financial Statements and Exhibits, for period end 18-Sep-13 (FDX-US)","FDX-US,FDX","EDG"," 4:46am","18-Sep-13"
"StreetAccount Metrics Recap - FDX Q1 Earnings","FDX-US","SA"," 4:34am","18-Sep-13"
"FedEx reports Q1 EPS $1.53 vs FactSet $1.50","FDX-US","SA"," 4:33am","18-Sep-13"
"FedEx Corp. Reports Higher Year-Over-Year First Quarter Results","FDX-US,FDX","BW"," 4:30am","18-Sep-13"
"WSJ is cautiously positive on FedEx","FDX-US","SA","11:37pm","17-Sep-13"
"StreetAccount Consensus Metrics Preview - FDX Q1 Earnings","FDX-US","SA"," 9:23am","16-Sep-13"
"MEDIA ADVISORY: FedEx Chief Fred Smith to Be Honored at USCIB Gala","FDX-US","MW"," 9:08am","16-Sep-13"
"FedEx Launches Ninth Annual FedEx Cares Week","FDX-US,FDX","BW"," 6:00am","16-Sep-13"
"Teamster Proposal for FedEx Independent Board Chair Backed By Leading Proxy Advisers","FDX-US","PRN"," 9:30am","12-Sep-13"
"FedEx Corporation / Amalgamated Bank Longview Funds - Activist Campaign to Vote For a Stockholder Proposal Announced","FDX-US","FSWA"," 3:00pm","10-Sep-13"
"The ORBIS Flying Eye Hospital Returns to India For a Two-Week Ophthalmic Training Program","FDX-US","PRN"," 2:00pm","10-Sep-13"
"FEDEX CORP files (CT ORDER) Confidential treatment order by SEC (FDX-US)","FDX-US,FDX","EDG"," 1:40pm","10-Sep-13"
"FEDEX CORP files (PX14A6G) Registrant sending written material to shareholders (FDX-US)","FDX-US,FDX","EDG"," 7:07am","10-Sep-13"
"FEDEX CORP files (PX14A6G) Registrant sending written material to shareholders (FDX-US)","FDX-US,FDX","EDG"," 6:57am","10-Sep-13"
"Boeing Delivers First 767 Freighter to FedEx Express","063JW6-E,FDX-US,B...","PRN","10:00am","4-Sep-13"
"FedEx Ground Names Humanitarian Award Winners","FDX-US,FDX","BW"," 6:00am","27-Aug-13"
"Twelve FedEx Drivers Earn Honors at National Truck Driving Championships","FDX-US","BW"," 6:00am","26-Aug-13"
"Ownership Updates: FEDEX CORP  COM (FDX) for 17-Aug-2013","FDX-US,31428X10","FIO"," 2:10am","17-Aug-13"
"FedEx Corp. Board Declares Quarterly Dividend","FDX-US,FDX","BW"," 6:00am","16-Aug-13"
"WSJ is cautious on UPS (UPS), FedEx (FDX)","FDX-US,UPS-US","SA"," 5:27pm","15-Aug-13"
"Ownership Updates: FEDEX CORP  COM (FDX) for 15-Aug-2013","FDX-US,31428X10","FIO"," 2:30am","15-Aug-13"
"Ownership Updates: FEDEX CORP  COM (FDX) for 14-Aug-2013","FDX-US,31428X10","FIO"," 3:00am","14-Aug-13"
"EVP GLENN Gifts 8,905 of FEDEX CORP (FDX)","FDX-US,FDX","EDG","12:07pm","13-Aug-13"
"Scan Added:  FEDEX CORP files (ARS) Annual report to security holders (paper filing), for period end 31-May-13 (FDX-US)","FDX-US,FDX","EDG"," 7:25am","13-Aug-13"
"FedEx Corp.(FDX-US) Schedules Roadshow for 12-August-2013","FDX-US","FCST"," 1:40pm","12-Aug-13"
"FedEx Corp. (FDX-US) - Annual Report for the Period Ending 31-May-2013 (English)","FDX-US","FFR"," 9:59am","12-Aug-13"
"FEDEX CORP files (DEF 14A) Definitive proxy statements, for period end 23-Sep-13 (FDX-US)","FDX-US,FDX","EDG"," 9:06am","12-Aug-13"
"Ownership Updates: FEDEX CORP  COM (FDX) for 11-Aug-2013","FDX-US,31428X10","FIO","10:20am","11-Aug-13"
"Ownership Updates: FEDEX CORP  COM (FDX) for 10-Aug-2013","FDX-US,31428X10","FIO","12:40am","10-Aug-13"
"FEDEX CORP files (SC 13G/A) Acquisition of beneficial ownership of 5% or more (Amended) (FDX-US)","FDX-US,FDX","EDG"," 1:08pm","9-Aug-13"
"VP MERINO Sells 11,700 of FEDEX CORP (FDX)","FDX-US,FDX","EDG"," 9:00am","9-Aug-13"
"CEO BRONCZEK Sells 59,628 of FEDEX CORP (FDX)","FDX-US,FDX","EDG"," 1:01pm","2-Aug-13"
"FedEx downgraded to hold from buy at Standpoint Research (timing uncertain)","FDX-US","SA"," 8:10am","1-Aug-13"
"The ORBIS Flying Eye Hospital Returns to Panama For a Comprehensive Eye Care Skills Exchange Program","FDX-US","PRN","11:00am","30-Jul-13"
"Dir EDWARDSON Sells 5,339 of FEDEX CORP (FDX)","FDX-US,FDX","EDG"," 1:04pm","24-Jul-13"
"Freight and Shipping Services Present Strong Financial Results, and Certifications for Better Service - Research Report on UPS, FedEx, Hub Group, Forward Air Corporation, and Golar LNG","FDX-US,FWRD-US,GL...","PRN"," 5:00am","24-Jul-13"
"CEO MAIER Sells 1,629 of FEDEX CORP (FDX)","FDX-US,FDX","EDG","12:31pm","22-Jul-13"
"FedEx to Send 132 Drivers to National Truck Driving Championships","FDX-US,FDX","BW"," 6:00am","22-Jul-13"
"Ownership Updates: FEDEX CORP  COM (FDX) for 19-Jul-2013","FDX-US,31428X10","FIO"," 2:40am","19-Jul-13"
"Dir SMITH Sells 4,977 of FEDEX CORP (FDX)","FDX-US,FDX","EDG","12:31pm","17-Jul-13"
