"Pfizer Expands Clinical Trial Data Access Policy And Launches Data Access Portal","PFE-US,PFE,US7170...","BW"," 9:09am","4-Dec-13"
"HealthCare Royalty Partners Appoints Pfizer Veteran to Strategic Advisory Board","PFE-US,06R6L0-E","PRN"," 4:00am","4-Dec-13"
"Pfizer removed from Conviction Buy List at Goldman Sachs; stock remains rated buy","PFE-US","SA"," 5:17pm","2-Dec-13"
"EVP SUSMAN Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","10:18am","2-Dec-13"
"Officer YOUNG Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","10:18am","2-Dec-13"
"CEO READ Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","10:18am","2-Dec-13"
"EVP HILL Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","10:18am","2-Dec-13"
"EVP OLSON Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","10:18am","2-Dec-13"
"EVP LEWIS-HALL Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","10:18am","2-Dec-13"
"EVP SCHULMAN Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","10:18am","2-Dec-13"
"EVP MADDALUNA Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","10:18am","2-Dec-13"
"EVP LANKLER Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","10:18am","2-Dec-13"
"Pres DOLSTEN Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","10:18am","2-Dec-13"
"EVP DAMELIO Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","10:18am","2-Dec-13"
"Officer GERMANO Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","10:18am","2-Dec-13"
"SVP CANGIALOSI Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","10:17am","2-Dec-13"
"Pfizer acquires Polocard","PFE-US","SA"," 5:31am","2-Dec-13"
"Pfizer Acquires Polocard, Poland's Leading Over-The-Counter Heart Attack Prevention Brand","PFE-US,PFE,US7170...","BW"," 5:30am","2-Dec-13"
"Pfizer issues press release regarding FDA approval of XALKORI","PFE-US","SA"," 8:01am","21-Nov-13"
"Pfizer's XALKORI® Granted Regular FDA Approval","PFE-US,PFE,US7170...","BW"," 8:00am","21-Nov-13"
"FDA granted full NDA approval for Xalkori (crizotinib) for ALK-positive NSCLC patients","PFE-US","SA"," 6:08am","21-Nov-13"
"Pfizer and GSK to initiate study of novel combination therapy in patients with melanoma","PFE-US,GSK-GB","SA"," 5:01am","21-Nov-13"
"Pfizer announces FDA approval of sNDA to expand Xeljanz (tofacitinib citrate) labeling","PFE-US,4502-JP","SA"," 1:50pm","18-Nov-13"
"Pfizer Announces FDA Approval of Supplemental Application to Expand XELJANZ® (tofacitinib citrate) Labeling to Include Additional Patient-Reported Outcomes Data for Adults with Moderately to Severely Active Rheumatoid Arthritis","PFE-US,PFE,US7170...","BW"," 1:47pm","18-Nov-13"
"Officer YOUNG Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","12:32pm","18-Nov-13"
"EVP OLSON Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","12:32pm","18-Nov-13"
"CEO READ Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","12:32pm","18-Nov-13"
"EVP SUSMAN Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","12:32pm","18-Nov-13"
"EVP SCHULMAN Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","12:32pm","18-Nov-13"
"EVP MADDALUNA Sells 92,000 of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","12:32pm","18-Nov-13"
"EVP LEWIS-HALL Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","12:32pm","18-Nov-13"
"Officer GERMANO Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","12:32pm","18-Nov-13"
"EVP HILL Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","12:32pm","18-Nov-13"
"Pres DOLSTEN Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","12:32pm","18-Nov-13"
"EVP LANKLER Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","12:32pm","18-Nov-13"
"SVP CANGIALOSI Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","12:32pm","18-Nov-13"
"EVP DAMELIO Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","12:32pm","18-Nov-13"
"Pfizer Subsidiary, Wyeth LLC, To Redeem 5.500% Notes Due February 1, 2014","PFE-US,PFE,US7170...","BW"," 5:30am","14-Nov-13"
"PFIZER INC files (10-Q) Basic quarterly filing, for period end 29-Sep-13 (PFE-US)","PFE-US,78003,PFE","EDG","12:44pm","8-Nov-13"
"Pfizer Inc: 10-Q FactSet Blackline Report for period ending 09/29/2013","PFE-US","FBLK","12:44pm","8-Nov-13"
"Tor Myhren Appointed Worldwide Chief Creative Officer Of Grey","GREY-US,PFE-US","PRNA","11:44am","8-Nov-13"
"Pfizer announces top-line results of phase 3B/4 study of RAPAMUNE (sirolimus) in renal transplant recipients","PFE-US,ALKS-US","SA"," 5:02am","8-Nov-13"
"Pfizer Announces Top-Line Results Of Phase 3B/4 Study Of RAPAMUNE® (sirolimus) In Renal Transplant Recipients","PFE-US,PFE,US7170...","BW"," 5:00am","8-Nov-13"
"2013 mHealth Summit Launches First Pharma and Life Sciences Roundtable","PFE-US","PRN","11:31am","6-Nov-13"
"SVP CANGIALOSI Gifts 340 of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG"," 4:21am","6-Nov-13"
"Appeals Court affirms patent board award of priority to Pfizer with regarding to IL-13","PFE-US,SAN-FR","SA"," 8:19am","5-Nov-13"
"Pfizer receives FDA approval for a prior approval supplement for EMBEDA extended release capsules CII","PFE-US","SA"," 2:16pm","4-Nov-13"
"Pfizer Receives FDA Approval for a Prior Approval Supplement for EMBEDA® (morphine sulfate and naltrexone hydrochloride) Extended Release Capsules CII","PFE-US,PFE,US7170...","BW"," 2:14pm","4-Nov-13"
"SVP CANGIALOSI Sells 10,000 of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG"," 1:00pm","4-Nov-13"
"EVP MADDALUNA Sells 43,500 of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","12:56pm","4-Nov-13"
"EVP OLSON Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","12:56pm","4-Nov-13"
"Officer BRANDICOURT Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","12:56pm","4-Nov-13"
"Pres DOLSTEN Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","12:56pm","4-Nov-13"
"EVP LANKLER Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","12:56pm","4-Nov-13"
"Officer GERMANO Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","12:56pm","4-Nov-13"
"EVP DAMELIO Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","12:56pm","4-Nov-13"
"EVP HILL Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","12:56pm","4-Nov-13"
"CEO READ Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","12:56pm","4-Nov-13"
"EVP SCHULMAN Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","12:56pm","4-Nov-13"
"Officer YOUNG Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","12:56pm","4-Nov-13"
"EVP SUSMAN Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","12:56pm","4-Nov-13"
"EVP LEWIS-HALL Updates Ownership of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG","12:56pm","4-Nov-13"
"Analyst's Notes >> PFIZER INC (Argus Research) 5 pages","PFE-US,MRK-DE,AET...","FRC"," 6:49am","1-Nov-13"
"CEO READ Sells 338,000 of PFIZER INC (PFE)","PFE-US,78003,PFE","EDG"," 2:45pm","29-Oct-13"
"CALLSTREET REPORT: Pfizer Inc.(PFE-US), Q3 2013 Earnings Call, 29-October-2013 10:00 AM ET","PFE-US","FCST"," 2:28pm","29-Oct-13"
"PFIZER INC files (8-K) Current report: Items 2.02 - Results of Operations, 9.01 - Financial Statements and Exhibits, for period end 29-Oct-13 (PFE-US)","PFE-US,78003,PFE","EDG"," 5:49am","29-Oct-13"
"StreetAccount Metrics Recap - PFE Q3 Earnings","PFE-US","SA"," 4:09am","29-Oct-13"
"Pfizer reports Q3 EPS $0.58 vs FactSet $0.56","PFE-US","SA"," 4:02am","29-Oct-13"
"Pfizer Reports Third-Quarter 2013 Results","PFE-US,PFE,US7170...","BW"," 4:00am","29-Oct-13"
"StreetAccount Consensus Metrics Preview - PFE Q3 Earnings","PFE-US","SA"," 8:49am","28-Oct-13"
"Despite Formulary Coverage of Several Biologic Agents for Rheumatoid Arthritis in Argentina and Mexico, Low Biologic Treatment Rates Characterize These Markets","PFE-US,066807-E","PRN"," 6:00am","28-Oct-13"
"Pfizer Declares 24-Cent Fourth-Quarter 2013 Dividend","PFE-US,PFE,US7170...","BW"," 1:00pm","24-Oct-13"
"Pfizer Proceeding with REMOXY® Development","DRRX-US,PFE-US,PT...","PRN"," 5:10am","22-Oct-13"
"Pfizer continues development program for Remoxy (oxycodone) extended-release capsules CII","PFE-US,DRRX-US,PT...","SA"," 5:05am","22-Oct-13"
